scenario	BL	replicate	time_to_sc
rescue_high	BL5	14	22
rescue_high	BL5	15	22
rescue_high	BL5	16	25
rescue_high	BL5	17	34
rescue_high	BL5	18	17
rescue_high	BL5	19	19
rescue_high	BL5	20	24
rescue_high	BL5	21	38
rescue_high	BL5	22	13
rescue_high	BL5	23	21
rescue_high	BL5	24	26
rescue_high	BL5	25	48
rescue_high	BL5	26	50
rescue_high	BL5	27	23
rescue_high	BL5	28	39
rescue_high	BL5	29	25
high_drift	BL1	0	4
high_drift	BL1	1	7
high_drift	BL1	2	0
high_drift	BL1	3	2
high_drift	BL1	4	4
high_drift	BL1	5	5
high_drift	BL1	6	0
high_drift	BL1	7	2
high_drift	BL1	8	3
high_drift	BL1	9	3
high_drift	BL1	10	5
high_drift	BL1	11	7
high_drift	BL1	12	0
high_drift	BL1	13	3
high_drift	BL1	14	12
high_drift	BL1	15	5
high_drift	BL1	16	0
high_drift	BL1	17	5
high_drift	BL1	18	10
high_drift	BL1	19	0
high_drift	BL1	20	1
high_drift	BL1	21	0
high_drift	BL1	22	0
high_drift	BL1	23	0
high_drift	BL1	24	0
high_drift	BL1	25	6
high_drift	BL1	26	4
high_drift	BL1	27	1
high_drift	BL1	28	0
high_drift	BL1	29	0
high_drift	BL2	0	9
high_drift	BL2	1	7
high_drift	BL2	2	6
high_drift	BL2	3	8
high_drift	BL2	4	4
high_drift	BL2	5	4
high_drift	BL2	6	9
high_drift	BL2	7	4
high_drift	BL2	8	9
high_drift	BL2	9	4
high_drift	BL2	10	9
high_drift	BL2	11	8
high_drift	BL2	12	9
high_drift	BL2	13	7
high_drift	BL2	14	6
high_drift	BL2	15	10
high_drift	BL2	16	14
high_drift	BL2	17	11
high_drift	BL2	18	7
high_drift	BL2	19	11
high_drift	BL2	20	6
high_drift	BL2	21	3
high_drift	BL2	22	7
high_drift	BL2	23	10
high_drift	BL2	24	6
high_drift	BL2	25	12
high_drift	BL2	26	13
high_drift	BL2	27	8
high_drift	BL2	28	6
high_drift	BL2	29	7
high_drift	BL3	0	20
high_drift	BL3	1	13
high_drift	BL3	2	12
high_drift	BL3	3	17
high_drift	BL3	4	21
high_drift	BL3	5	10
high_drift	BL3	6	21
high_drift	BL3	7	16
high_drift	BL3	8	18
high_drift	BL3	9	19
high_drift	BL3	10	11
high_drift	BL3	11	26
high_drift	BL3	12	14
high_drift	BL3	13	23
high_drift	BL3	14	9
high_drift	BL3	15	20
high_drift	BL3	16	10
high_drift	BL3	17	23
high_drift	BL3	18	18
high_drift	BL3	19	19
high_drift	BL3	20	14
high_drift	BL3	21	17
high_drift	BL3	22	19
high_drift	BL3	23	7
high_drift	BL3	24	11
high_drift	BL3	25	26
high_drift	BL3	26	22
high_drift	BL3	27	12
high_drift	BL3	28	12
high_drift	BL3	29	14
high_drift	BL4	0	16
high_drift	BL4	1	16
high_drift	BL4	2	19
high_drift	BL4	3	18
high_drift	BL4	4	19
high_drift	BL4	5	17
high_drift	BL4	6	25
high_drift	BL4	7	21
high_drift	BL4	8	14
high_drift	BL4	9	7
high_drift	BL4	10	19
high_drift	BL4	11	14
high_drift	BL4	12	19
high_drift	BL4	13	20
high_drift	BL4	14	26
high_drift	BL4	15	20
high_drift	BL4	16	11
high_drift	BL4	17	18
high_drift	BL4	18	9
high_drift	BL4	19	8
high_drift	BL4	20	12
high_drift	BL4	21	20
high_drift	BL4	22	14
high_drift	BL4	23	27
high_drift	BL4	24	11
high_drift	BL4	25	24
high_drift	BL4	26	10
high_drift	BL4	27	14
high_drift	BL4	28	17
high_drift	BL4	29	8
high_drift	BL5	0	22
high_drift	BL5	1	22
high_drift	BL5	2	15
high_drift	BL5	3	19
high_drift	BL5	4	21
high_drift	BL5	5	13
high_drift	BL5	6	38
high_drift	BL5	7	9
high_drift	BL5	8	15
high_drift	BL5	9	9
high_drift	BL5	10	21
high_drift	BL5	11	13
high_drift	BL5	12	11
high_drift	BL5	13	29
high_drift	BL5	14	14
high_drift	BL5	15	12
high_drift	BL5	16	26
high_drift	BL5	17	14
high_drift	BL5	18	17
high_drift	BL5	19	11
high_drift	BL5	20	16
high_drift	BL5	21	10
high_drift	BL5	22	9
high_drift	BL5	23	17
high_drift	BL5	24	18
high_drift	BL5	25	15
high_drift	BL5	26	11
high_drift	BL5	27	25
high_drift	BL5	28	16
high_drift	BL5	29	22
