Sample_ID	Library	Barcode	EO	EO_normalised	BL_inferred	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason	Outcome_category
Library002_barcode41	2	41	24-14	EO24	BL5	1	52	32			too_many_alleles	0.0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(10))	Re_DNA_extraction
Library002_barcode42	2	42	29	EO29	BL1	1	20	20			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library002_barcode43	2	43	118	EO118	BL3	1	32	32			normal	22.0	Functional	mixed	Assigned	Included			Functional
Library002_barcode44	2	44	67	EO67	BL4	1	20	16			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library002_barcode45	2	45	52	EO52	BL3	1	28	28			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library002_barcode46	2	46	68	EO68	BL2	1	36	20			normal	8.0	Functional	premature_stop	Assigned	Included			Functional
Library002_barcode47	2	47	8	EO8	Unassigned	1	36	28			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode48	2	48	118	EO118	BL3	1	40	36			low_functional_rate	16.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode49	2	49	29	EO29	BL1	1	20	16			no_functional_proteins	0.0	Complete_loss	mixed		Excluded	Step 9 — no_functional_proteins	mixed premature_stop + ambiguous_aa failures — both LoF mutations AND data-quality issues; interpret cautiously (Top failures: premature_stop(14);ambiguous_aa(8))	Re_PCR
Library002_barcode50	2	50	24a	EO24a	Unassigned	1	36	28			low_functional_rate	11.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode51	2	51	18	EO18	BL5	1	64	48			normal	16.0	Functional	mixed	Assigned	Included			Functional
Library002_barcode52	2	52	702-24	EO702	Unassigned	1	28	8			normal	4.0	Functional		Unassigned	Included			Functional
Library002_barcode53	2	53	715-1	EO715	Unassigned	1	48	36			normal	20.0	Functional	mixed	Unassigned	Included			Functional
Library002_barcode54	2	54	montanum	EOmontanum	Unassigned	0	44	32			low_functional_rate	8.0	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library002_barcode55	2	55	montanum	EOmontanum	Unassigned	0	52	36			low_functional_rate	12.0	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library002_barcode56	2	56	philonitron	EOphilonitron	Unassigned	0	52	28			low_functional_rate	12.0	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
