EO	scenario	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	delta_P_collapsed_vs_baseline
EO18	si_proper	20	0.000	763	16.0	0.559	0.000	1240	16.0	0.574	0.000	2139	16.0	0.586	0.001	+0.000
EO18	si_proper	50	0.000	762	16.0	0.574	0.000	1254	16.0	0.590	0.000	2188	16.0	0.594	0.000	+0.000
EO18	sc_inbreeding	10	0.000	746	16.0	0.294	0.002	1255	16.0	0.346	0.004	2133	16.0	0.392	0.008	+0.000
EO18	sc_inbreeding	20	0.000	757	16.0	0.292	0.001	1272	16.0	0.342	0.003	2122	16.0	0.391	0.007	+0.000
EO18	sc_inbreeding	50	0.000	796	16.0	0.289	0.001	1269	16.0	0.342	0.002	2194	16.0	0.396	0.005	+0.000
EO18	worst_case	10	0.000	737	16.0	0.300	0.002	1160	16.0	0.343	0.004	1660	16.0	0.390	0.008	+0.000
EO18	worst_case	20	0.000	687	16.0	0.289	0.001	1016	16.0	0.343	0.003	1580	16.0	0.385	0.007	+0.000
EO18	worst_case	50	0.000	517	16.0	0.288	0.001	756	16.0	0.345	0.003	1095	16.0	0.393	0.006	+0.000
EO25	baseline	10	0.000	598	14.0	0.335	0.000	924	14.0	0.380	0.002	1649	14.0	0.419	0.004	+0.000
EO25	baseline	20	0.000	574	14.0	0.329	0.000	975	14.0	0.372	0.001	1673	14.0	0.418	0.003	+0.000
EO25	baseline	50	0.000	571	14.0	0.318	0.000	1002	14.0	0.369	0.001	1672	14.0	0.415	0.003	+0.000
EO25	area_capped	10	0.000	675	14.0	0.340	0.000	992	14.0	0.380	0.002	1447	14.0	0.425	0.004	+0.000
EO25	area_capped	20	0.000	688	14.0	0.328	0.000	991	14.0	0.375	0.001	1457	14.0	0.422	0.004	+0.000
EO25	area_capped	50	0.000	688	14.0	0.326	0.000	978	14.0	0.372	0.001	1429	14.0	0.422	0.003	+0.000
EO25	catastrophe	10	0.000	601	14.0	0.337	0.000	1020	14.0	0.380	0.002	1671	14.0	0.421	0.004	+0.000
EO25	catastrophe	20	0.000	574	14.0	0.325	0.000	966	14.0	0.375	0.001	1724	14.0	0.420	0.003	+0.000
EO25	catastrophe	50	0.000	587	14.0	0.320	0.000	949	14.0	0.375	0.001	1655	14.0	0.419	0.003	+0.000
EO25	K_decline_1pct	10	0.000	567	14.0	0.335	0.000	910	14.0	0.382	0.002	1448	14.0	0.419	0.004	+0.000
EO25	K_decline_1pct	20	0.000	483	14.0	0.330	0.000	844	14.0	0.377	0.001	1420	14.0	0.421	0.003	+0.000
EO25	K_decline_1pct	50	0.000	351	14.0	0.326	0.000	600	14.0	0.374	0.001	1026	14.0	0.414	0.003	+0.000
EO25	si_proper	10	0.000	585	14.0	0.513	0.000	959	14.0	0.529	0.000	1627	14.0	0.541	0.001	+0.000
EO25	si_proper	20	0.000	609	14.0	0.533	0.000	1012	14.0	0.545	0.000	1678	14.0	0.549	0.000	+0.000
EO25	si_proper	50	0.000	608	14.0	0.546	0.000	938	14.0	0.550	0.000	1658	14.0	0.552	0.000	+0.000
EO25	sc_inbreeding	10	0.000	577	14.0	0.334	0.000	1007	14.0	0.380	0.002	1731	14.0	0.419	0.004	+0.000
EO25	sc_inbreeding	20	0.000	564	14.0	0.323	0.000	1010	14.0	0.376	0.001	1703	14.0	0.422	0.003	+0.000
EO25	sc_inbreeding	50	0.000	618	14.0	0.319	0.000	970	14.0	0.370	0.001	1604	14.0	0.421	0.003	+0.000
EO25	worst_case	10	0.000	623	14.0	0.338	0.000	894	14.0	0.380	0.002	1310	14.0	0.422	0.004	+0.000
EO25	worst_case	20	0.000	546	14.0	0.328	0.000	815	14.0	0.377	0.001	1207	14.0	0.416	0.004	+0.000
EO25	worst_case	50	0.000	399	14.0	0.325	0.000	588	14.0	0.375	0.001	872	14.0	0.418	0.003	+0.000
