Sample_ID	Library	Barcode	input_reads	raw_reads	raw_total_bases	raw_p10_len	raw_median_len	raw_p90_len	raw_n50_len	raw_n_above_3kb	raw_pct_above_3kb	raw_mean_phred_all_bases	raw_mean_phred_per_read	canu_n_contigs_rep1	canu_n_contigs_rep2	canu_n_contigs_rep3	canu_n_contigs_rep4	canu_n_contigs_total	n_combined_contigs	n_unique_contigs	contig_min_len	contig_median_len	contig_max_len	contig_n50	contig_n_in_step4_range	contig_n_below_step4_min	contig_n_above_step4_max	contig_pct_in_step4_range	chim_n_keep	chim_n_drop	chim_median_uniformity	chim_pct_dropped	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	SI_status	Lab_action	Exclusion_stage	pass_si_threshold	failure_mode	recommended_action
Library002_barcode24	Library002	barcode24	532	19362	10334439	91	329	1192	868	244	1.2602003925214338	31.66	29.48	2.0	3.0	1.0	1.0	7.0	7.0	7.0	2867.0	3518.0	3562.0	3518.0	6.0	1.0	0.0	85.7	3.0	4.0	0.071	57.1							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library002_barcode25	Library002	barcode25	269	5861	1411283	52	121	564	498	3	0.05118580447022693	30.7	27.57	1.0	1.0	1.0	1.0	4.0	4.0	1.0	3375.0	3375.0	3375.0	3375.0	1.0	0.0	0.0	100.0	1.0	0.0	0.67	0.0							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library002_barcode26	Library002	barcode26	540	28616	13520622	91	294	1018	732	255	0.8911098686049763	31.53	29.75	1.0	1.0	1.0	2.0	5.0	5.0	5.0	3250.0	3373.0	3379.0	3373.0	5.0	0.0	0.0	100.0	2.0	3.0	0.184	60.0							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library002_barcode27	Library002	barcode27	553	15993	8025947	110	332	1018	720	171	1.0692177827799663	31.25	29.66	2.0	3.0	1.0	1.0	7.0	7.0	7.0	1749.0	3549.0	3555.0	3549.0	6.0	1.0	0.0	85.7	3.0	4.0	0.17	57.1							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library002_barcode28	Library002	barcode28	540	28908	19477386	108	423	1708	1169	407	1.4079147640791476	32.21	30.6	3.0	2.0	3.0	3.0	11.0	11.0	9.0	2727.0	3483.0	3888.0	3483.0	8.0	1.0	0.0	88.9	6.0	3.0	0.267	33.3	EO27	BL4	12.0	4.0	8.0	16.0	pSI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode29	Library002	barcode29	537	19910	11473377	100	336	1409	1027	318	1.5971873430436965	32.18	30.27	2.0	2.0	2.0	2.0	8.0	8.0	8.0	1691.0	3501.0	3511.0	3507.0	6.0	2.0	0.0	75.0	8.0	0.0	0.265	0.0	EO405	Unassigned	15.0	0.0	9.0	15.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode30	Library002	barcode30	557	25008	15581818	113	366	1646	1126	41	0.16394753678822777	31.8	30.1	0.0	1.0	1.0	1.0	3.0	3.0	2.0	3010.0	3011.0	3012.0	3012.0	0.0	2.0	0.0	0.0	2.0	0.0	0.676	0.0	EO98	Unassigned	0.0	0.0	0.0	0.0	Insufficient_data	Re-PCR	Step 4 — length filter	False	PCR_amplicon_failure	Re-amplify the SRK amplicon from existing DNA; existing reads cannot be salvaged.
Library002_barcode31	Library002	barcode31	519	15104	10936474	107	462	1895	1297	287	1.9001588983050848	32.39	30.55	3.0	3.0	1.0	3.0	10.0	10.0	9.0	3024.0	3424.0	3524.0	3424.0	7.0	2.0	0.0	77.8	6.0	3.0	0.311	33.3	EO25	BL5	15.0	0.0	13.0	15.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode32	Library002	barcode32	545	18335	11770257	108	421	1534	1024	230	1.2544314153258795	32.13	30.55	2.0	3.0	3.0	2.0	10.0	10.0	7.0	3073.0	3363.0	3365.0	3363.0	6.0	1.0	0.0	85.7	6.0	1.0	0.269	14.3	EO48	BL5	18.0	0.0	6.0	18.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode33	Library002	barcode33	543	12971	8134744	93	381	1591	1094	180	1.387711047721841	32.04	30.17	1.0	1.0	1.0	1.0	4.0	4.0	1.0	3363.0	3363.0	3363.0	3363.0	1.0	0.0	0.0	100.0	1.0	0.0	0.632	0.0	EO97	Unassigned	0.0	3.0	1.0	3.0	Insufficient_data	Re-sequence (SI status uncertain)	Step 25b — SI status	False	partial_recovery	Re-sequence on existing DNA + library at moderately higher coverage; a 2× read budget should push this sample over the 4-haplotype SI threshold.
