recipient_level	recipient_group	recipient_BL	recipient_N	k_recipient	donor_level	donor_group	donor_BL	donor_N	k_donor	tier	rank_in_tier	novel_alleles	shared_alleles	k_after_injection	pct_species_gap_closed	pct_observed_gap_closed	novel_allele_ids
EO	67	BL4	37	10	EO	76	BL3	76	14	cross-BL	3	10	4	20	20.4	25.6	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_027,Allele_032,Allele_034,Allele_047
EO	67	BL4	37	10	EO	25	BL5	51	14	cross-BL	4	9	5	19	18.4	23.1	Allele_006,Allele_019,Allele_024,Allele_028,Allele_032,Allele_033,Allele_037,Allele_038,Allele_039
EO	67	BL4	37	10	EO	18	BL5	37	13	cross-BL	5	9	4	19	18.4	23.1	Allele_002,Allele_003,Allele_015,Allele_017,Allele_027,Allele_028,Allele_039,Allele_044,Allele_052
EO	67	BL4	37	10	BL	BL2	BL2	77	7	cross-BL	6	4	3	14	8.2	10.3	Allele_039,Allele_041,Allele_048,Allele_050
EO	67	BL4	37	10	EO	70	BL2	74	6	cross-BL	7	4	2	14	8.2	10.3	Allele_039,Allele_041,Allele_048,Allele_050
EO	67	BL4	37	10	BL	BL1	BL1	11	5	cross-BL	8	2	3	12	4.1	5.1	Allele_022,Allele_025
EO	18	BL5	37	13	EO	25	BL5	51	14	within-BL	1	8	6	21	17.4	22.2	Allele_006,Allele_019,Allele_024,Allele_031,Allele_032,Allele_033,Allele_037,Allele_038
EO	18	BL5	37	13	BL	BL4	BL4	98	28	cross-BL	1	19	9	32	41.3	52.8	Allele_004,Allele_005,Allele_006,Allele_020,Allele_022,Allele_023,Allele_025,Allele_026,Allele_029,Allele_030,Allele_031,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_042,Allele_045,Allele_051
EO	18	BL5	37	13	EO	27	BL4	61	22	cross-BL	2	13	9	26	28.3	36.1	Allele_004,Allele_005,Allele_006,Allele_020,Allele_022,Allele_025,Allele_029,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_051
EO	18	BL5	37	13	BL	BL3	BL3	81	15	cross-BL	3	10	5	23	21.7	27.8	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_032,Allele_034,Allele_047,Allele_049
EO	18	BL5	37	13	EO	76	BL3	76	14	cross-BL	4	9	5	22	19.6	25.0	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_032,Allele_034,Allele_047
EO	18	BL5	37	13	EO	67	BL4	37	10	cross-BL	5	6	4	19	13.0	16.7	Allele_023,Allele_026,Allele_030,Allele_031,Allele_042,Allele_045
EO	18	BL5	37	13	BL	BL2	BL2	77	7	cross-BL	6	3	4	16	6.5	8.3	Allele_041,Allele_048,Allele_050
EO	18	BL5	37	13	EO	70	BL2	74	6	cross-BL	7	3	3	16	6.5	8.3	Allele_041,Allele_048,Allele_050
EO	18	BL5	37	13	BL	BL1	BL1	11	5	cross-BL	8	2	3	15	4.3	5.6	Allele_022,Allele_025
