scenario	BL	replicate	time_to_sc
rescue_high	BL4	41	176.0
rescue_high	BL4	42	60.0
rescue_high	BL4	43	107.0
rescue_high	BL4	44	45.0
rescue_high	BL4	45	51.0
rescue_high	BL4	46	
rescue_high	BL4	47	192.0
rescue_high	BL4	48	
rescue_high	BL4	49	80.0
rescue_high	BL5	0	93.0
rescue_high	BL5	1	55.0
rescue_high	BL5	2	65.0
rescue_high	BL5	3	159.0
rescue_high	BL5	4	99.0
rescue_high	BL5	5	63.0
rescue_high	BL5	6	
rescue_high	BL5	7	94.0
rescue_high	BL5	8	87.0
rescue_high	BL5	9	106.0
rescue_high	BL5	10	44.0
rescue_high	BL5	11	196.0
rescue_high	BL5	12	72.0
rescue_high	BL5	13	
rescue_high	BL5	14	71.0
rescue_high	BL5	15	106.0
rescue_high	BL5	16	
rescue_high	BL5	17	46.0
rescue_high	BL5	18	43.0
rescue_high	BL5	19	121.0
rescue_high	BL5	20	60.0
rescue_high	BL5	21	
rescue_high	BL5	22	136.0
rescue_high	BL5	23	32.0
rescue_high	BL5	24	48.0
rescue_high	BL5	25	127.0
rescue_high	BL5	26	46.0
rescue_high	BL5	27	65.0
rescue_high	BL5	28	86.0
rescue_high	BL5	29	163.0
rescue_high	BL5	30	184.0
rescue_high	BL5	31	28.0
rescue_high	BL5	32	68.0
rescue_high	BL5	33	46.0
rescue_high	BL5	34	46.0
rescue_high	BL5	35	192.0
rescue_high	BL5	36	
rescue_high	BL5	37	
rescue_high	BL5	38	93.0
rescue_high	BL5	39	157.0
rescue_high	BL5	40	43.0
rescue_high	BL5	41	58.0
rescue_high	BL5	42	
rescue_high	BL5	43	138.0
rescue_high	BL5	44	60.0
rescue_high	BL5	45	69.0
rescue_high	BL5	46	32.0
rescue_high	BL5	47	67.0
rescue_high	BL5	48	
rescue_high	BL5	49	72.0
high_drift	BL1	0	187.0
high_drift	BL1	1	
high_drift	BL1	2	
high_drift	BL1	3	
high_drift	BL1	4	
high_drift	BL1	5	12.0
high_drift	BL1	6	
high_drift	BL1	7	13.0
high_drift	BL1	8	
high_drift	BL1	9	
high_drift	BL1	10	3.0
high_drift	BL1	11	150.0
high_drift	BL1	12	
high_drift	BL1	13	
high_drift	BL1	14	
high_drift	BL1	15	
high_drift	BL1	16	125.0
high_drift	BL1	17	13.0
high_drift	BL1	18	
high_drift	BL1	19	56.0
high_drift	BL1	20	
high_drift	BL1	21	
high_drift	BL1	22	
high_drift	BL1	23	9.0
high_drift	BL1	24	
high_drift	BL1	25	6.0
high_drift	BL1	26	
high_drift	BL1	27	
high_drift	BL1	28	48.0
high_drift	BL1	29	
high_drift	BL1	30	9.0
high_drift	BL1	31	43.0
high_drift	BL1	32	
high_drift	BL1	33	
high_drift	BL1	34	
high_drift	BL1	35	
high_drift	BL1	36	
high_drift	BL1	37	138.0
high_drift	BL1	38	
high_drift	BL1	39	5.0
high_drift	BL1	40	
high_drift	BL1	41	
high_drift	BL1	42	
high_drift	BL1	43	
high_drift	BL1	44	
high_drift	BL1	45	
high_drift	BL1	46	
high_drift	BL1	47	
high_drift	BL1	48	
high_drift	BL1	49	
high_drift	BL2	0	104.0
high_drift	BL2	1	19.0
high_drift	BL2	2	
high_drift	BL2	3	130.0
high_drift	BL2	4	67.0
high_drift	BL2	5	49.0
high_drift	BL2	6	14.0
high_drift	BL2	7	55.0
high_drift	BL2	8	80.0
high_drift	BL2	9	16.0
high_drift	BL2	10	15.0
high_drift	BL2	11	
high_drift	BL2	12	83.0
high_drift	BL2	13	14.0
high_drift	BL2	14	12.0
high_drift	BL2	15	125.0
high_drift	BL2	16	138.0
high_drift	BL2	17	16.0
high_drift	BL2	18	
high_drift	BL2	19	141.0
high_drift	BL2	20	31.0
high_drift	BL2	21	18.0
high_drift	BL2	22	40.0
high_drift	BL2	23	23.0
high_drift	BL2	24	11.0
high_drift	BL2	25	145.0
high_drift	BL2	26	15.0
high_drift	BL2	27	12.0
high_drift	BL2	28	12.0
high_drift	BL2	29	156.0
high_drift	BL2	30	16.0
high_drift	BL2	31	67.0
high_drift	BL2	32	43.0
high_drift	BL2	33	
high_drift	BL2	34	185.0
high_drift	BL2	35	174.0
high_drift	BL2	36	117.0
high_drift	BL2	37	76.0
high_drift	BL2	38	11.0
high_drift	BL2	39	13.0
high_drift	BL2	40	
high_drift	BL2	41	186.0
high_drift	BL2	42	16.0
high_drift	BL2	43	24.0
high_drift	BL2	44	94.0
high_drift	BL2	45	
high_drift	BL2	46	10.0
high_drift	BL2	47	15.0
high_drift	BL2	48	10.0
high_drift	BL2	49	41.0
high_drift	BL3	0	134.0
high_drift	BL3	1	48.0
high_drift	BL3	2	13.0
high_drift	BL3	3	89.0
high_drift	BL3	4	
high_drift	BL3	5	
high_drift	BL3	6	
high_drift	BL3	7	25.0
high_drift	BL3	8	24.0
high_drift	BL3	9	47.0
high_drift	BL3	10	70.0
high_drift	BL3	11	182.0
high_drift	BL3	12	138.0
high_drift	BL3	13	
high_drift	BL3	14	20.0
high_drift	BL3	15	82.0
high_drift	BL3	16	100.0
high_drift	BL3	17	31.0
high_drift	BL3	18	196.0
high_drift	BL3	19	
high_drift	BL3	20	50.0
high_drift	BL3	21	59.0
high_drift	BL3	22	36.0
high_drift	BL3	23	26.0
high_drift	BL3	24	98.0
high_drift	BL3	25	24.0
high_drift	BL3	26	
high_drift	BL3	27	19.0
high_drift	BL3	28	
high_drift	BL3	29	120.0
high_drift	BL3	30	17.0
high_drift	BL3	31	21.0
high_drift	BL3	32	74.0
high_drift	BL3	33	28.0
high_drift	BL3	34	78.0
high_drift	BL3	35	27.0
high_drift	BL3	36	29.0
high_drift	BL3	37	23.0
high_drift	BL3	38	
high_drift	BL3	39	24.0
high_drift	BL3	40	
high_drift	BL3	41	
high_drift	BL3	42	30.0
high_drift	BL3	43	20.0
high_drift	BL3	44	50.0
high_drift	BL3	45	148.0
high_drift	BL3	46	128.0
high_drift	BL3	47	
high_drift	BL3	48	121.0
high_drift	BL3	49	13.0
high_drift	BL4	0	
high_drift	BL4	1	145.0
high_drift	BL4	2	47.0
high_drift	BL4	3	
high_drift	BL4	4	185.0
high_drift	BL4	5	32.0
high_drift	BL4	6	49.0
high_drift	BL4	7	163.0
high_drift	BL4	8	85.0
high_drift	BL4	9	153.0
high_drift	BL4	10	31.0
high_drift	BL4	11	
high_drift	BL4	12	21.0
high_drift	BL4	13	142.0
high_drift	BL4	14	29.0
high_drift	BL4	15	36.0
high_drift	BL4	16	
high_drift	BL4	17	125.0
high_drift	BL4	18	103.0
high_drift	BL4	19	77.0
high_drift	BL4	20	118.0
high_drift	BL4	21	145.0
high_drift	BL4	22	22.0
high_drift	BL4	23	176.0
high_drift	BL4	24	
high_drift	BL4	25	187.0
high_drift	BL4	26	
high_drift	BL4	27	
high_drift	BL4	28	
high_drift	BL4	29	122.0
high_drift	BL4	30	
high_drift	BL4	31	51.0
high_drift	BL4	32	124.0
high_drift	BL4	33	195.0
high_drift	BL4	34	24.0
high_drift	BL4	35	
high_drift	BL4	36	135.0
high_drift	BL4	37	26.0
high_drift	BL4	38	95.0
high_drift	BL4	39	116.0
high_drift	BL4	40	43.0
high_drift	BL4	41	30.0
high_drift	BL4	42	31.0
high_drift	BL4	43	51.0
high_drift	BL4	44	18.0
high_drift	BL4	45	200.0
high_drift	BL4	46	49.0
high_drift	BL4	47	
high_drift	BL4	48	38.0
high_drift	BL4	49	55.0
high_drift	BL5	0	
