Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_total	redo_priority	redo_action
Library009_barcode52	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode53	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode54	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode55	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode56	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode57	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode58	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode59	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode73	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode74	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode83	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode84	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode85	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode86	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode87	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode88	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode35	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode42	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode43	EO76	BL3	2	0	2	low	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode47	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode48	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode50	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode54	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode55	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode61	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode01	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode02	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode03	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode07	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode11	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode12	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode13	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode14	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode15	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode16	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode57	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode58	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode70	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode71	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode72	EO76	BL3	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library006_barcode45	EO27	BL4	2	0	2	low	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library007_barcode75	EO27	BL4	3	0	3	low	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode65	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode66	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode67	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode68	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode69	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode70	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode71	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode72	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode79	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode80	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode81	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode82	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode94	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode95	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode96	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode85	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode90	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode91	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode92	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode93	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode95	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode96	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode17	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode18	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode19	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode29	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode30	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode31	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode32	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode34	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode35	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode36	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode37	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode49	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode50	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode51	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode64	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode86	EO27	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library004_barcode90	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode26	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode27	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode28	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode29	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode30	EO67	BL4	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode04	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode12	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode31	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library010_barcode40	EO18	BL5	2	0	2	low	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
