Individual	Protein
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode65	SRK_protein_134
Library003_barcode66	SRK_protein_135
Library003_barcode66	SRK_protein_135
Library003_barcode66	SRK_protein_136
Library003_barcode66	SRK_protein_136
Library003_barcode66	SRK_protein_136
Library003_barcode66	SRK_protein_136
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode67	SRK_protein_137
Library003_barcode68	SRK_protein_138
Library003_barcode68	SRK_protein_138
Library003_barcode68	SRK_protein_138
Library003_barcode68	SRK_protein_138
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode69	SRK_protein_119
Library003_barcode70	SRK_protein_137
Library003_barcode71	SRK_protein_139
Library003_barcode71	SRK_protein_139
Library003_barcode71	SRK_protein_139
Library003_barcode71	SRK_protein_137
Library003_barcode71	SRK_protein_139
Library003_barcode71	SRK_protein_137
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode71	SRK_protein_140
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode72	SRK_protein_114
Library003_barcode73	SRK_protein_119
Library003_barcode73	SRK_protein_011
Library003_barcode73	SRK_protein_119
Library003_barcode73	SRK_protein_011
Library003_barcode73	SRK_protein_119
Library003_barcode73	SRK_protein_011
Library003_barcode74	SRK_protein_093
Library003_barcode74	SRK_protein_093
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_141
Library003_barcode74	SRK_protein_141
Library003_barcode74	SRK_protein_141
Library003_barcode74	SRK_protein_141
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_141
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_141
Library003_barcode76	SRK_protein_102
Library003_barcode76	SRK_protein_100
Library003_barcode76	SRK_protein_102
Library003_barcode76	SRK_protein_100
Library003_barcode76	SRK_protein_102
Library003_barcode76	SRK_protein_100
Library003_barcode76	SRK_protein_102
Library003_barcode76	SRK_protein_100
Library003_barcode76	SRK_protein_096
Library003_barcode76	SRK_protein_096
Library003_barcode76	SRK_protein_096
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_020
Library003_barcode78	SRK_protein_020
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_005
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_005
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_005
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_005
Library004_barcode80	SRK_protein_004
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_007
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode82	SRK_protein_008
Library004_barcode82	SRK_protein_008
Library004_barcode82	SRK_protein_008
Library004_barcode82	SRK_protein_008
Library004_barcode82	SRK_protein_009
Library004_barcode82	SRK_protein_009
Library004_barcode82	SRK_protein_009
Library004_barcode82	SRK_protein_009
Library004_barcode83	SRK_protein_010
Library004_barcode83	SRK_protein_011
Library004_barcode83	SRK_protein_010
Library004_barcode83	SRK_protein_011
Library004_barcode83	SRK_protein_010
Library004_barcode83	SRK_protein_010
Library004_barcode83	SRK_protein_012
Library004_barcode83	SRK_protein_012
Library004_barcode83	SRK_protein_012
Library004_barcode83	SRK_protein_012
Library004_barcode84	SRK_protein_013
Library004_barcode84	SRK_protein_013
Library004_barcode84	SRK_protein_013
Library004_barcode84	SRK_protein_013
Library004_barcode85	SRK_protein_014
Library004_barcode85	SRK_protein_014
