Individual	Protein
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library003_barcode60	SRK_protein_034
Library003_barcode60	SRK_protein_034
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_006
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_006
Library003_barcode63	SRK_protein_065
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode66	SRK_protein_068
Library003_barcode66	SRK_protein_068
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode70	SRK_protein_069
Library003_barcode71	SRK_protein_069
Library003_barcode71	SRK_protein_069
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode74	SRK_protein_046
Library003_barcode74	SRK_protein_046
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_071
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
