Sample_ID	Library	Barcode	DNA_Extraction	EO	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason
Library006_barcode39	6	39	236	27	1	84	64			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: ambiguous_aa(32);premature_stop(28))
Library006_barcode40	6	40	237	27	1	36	32			normal	20	Functional	mixed	Assigned	Included		
Library006_barcode41	6	41	238	27	1	36	28			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library006_barcode42	6	42	239	25	1	8	8			normal	8	Functional		Assigned	Included		
Library006_barcode43	6	43	240	76	1	28	12			normal	4	Functional	premature_stop	Assigned	Included		
Library006_barcode44	6	44	241	27	1	72	40			low_functional_rate	15	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode45	6	45	242	27	1	4	4			normal	2	Functional	premature_stop	Assigned	Included		
Library006_barcode46	6	46	243	27	1	20	16			normal	8	Functional	premature_stop	Assigned	Included		
Library006_barcode47	6	47	244	27	1	12	12			normal	8	Functional	premature_stop	Assigned	Included		
Library006_barcode48	6	48	245	27	1	24	24			low_functional_rate	8	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode49	6	49	246	27	1	28	28			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode50	6	50	247	27	1	8	8			normal	4	Functional	premature_stop	Assigned	Included		
Library006_barcode51	6	51	248	27	1	28	16			low_functional_rate	4	Partial_translation_failure	mixed	Assigned	Included		
Library006_barcode52	6	52	249	27	1	36	32			low_functional_rate	3	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode53	6	53	250	27	1	16	12			normal	7	Functional	premature_stop	Assigned	Included		
Library006_barcode54	6	54	251	27	1	52	36			normal	24	Functional	mixed	Assigned	Included		
Library006_barcode55	6	55	252	27	1	32	20			low_functional_rate	8	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode56	6	56	253	67	1	28	24			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode57	6	57	254	67	1	16	12			normal	8	Functional		Assigned	Included		
Library006_barcode58	6	58	255	67	1	24	24			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode59	6	59	256	67	1	32	24			normal	13	Functional	premature_stop	Assigned	Included		
Library006_barcode60	6	60	257	67	1	28	16			normal	12	Functional	ambiguous_aa	Assigned	Included		
Library006_barcode61	6	61	258	67	1	16	12			normal	2	Functional	premature_stop	Assigned	Included		
Library006_barcode62	6	62	259	67	1	44	40			normal	12	Functional	mixed	Assigned	Included		
Library006_barcode63	6	63	260	67	1	20	20			normal	12	Functional	mixed	Assigned	Included		
Library006_barcode64	6	64	261	67	1	36	24			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library006_barcode65	6	65	262	67	1	28	24			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library006_barcode66	6	66	263	67	1	36	24			low_functional_rate	3	Partial_translation_failure	mixed	Assigned	Included		
Library007_barcode67	7	67	264	27	1	32	24			low_functional_rate	7	Partial_translation_failure	mixed	Assigned	Included		
Library007_barcode68	7	68	265	27	1	32	20			low_functional_rate	4	Partial_translation_failure	mixed	Assigned	Included		
Library007_barcode69	7	69	266	27	1	36	20			normal	14	Functional	premature_stop	Assigned	Included		
Library007_barcode70	7	70	267	27	1	32	20			normal	11	Functional	premature_stop	Assigned	Included		
Library007_barcode71	7	71	268	27	1	12	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library007_barcode72	7	72	269	27	1	8	8			normal	8	Functional		Assigned	Included		
Library007_barcode73	7	73	270	27	1	48	40			normal	19	Functional	premature_stop	Assigned	Included		
Library007_barcode74	7	74	271	27	1	36	28			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(5);ambiguous_aa(4))
Library007_barcode75	7	75	272	27	1	4	4			normal	3	Functional	premature_stop	Assigned	Included		
Library007_barcode76	7	76	273	27	1	44	40			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(20);ambiguous_aa(8))
Library007_barcode77	7	77	274	27	1	12	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library007_barcode78	7	78	275	27	1	28	28			normal	13	Functional	premature_stop	Assigned	Included		
Library007_barcode79	7	79	277	27	1	48	20			low_functional_rate	3	Partial_translation_failure	premature_stop	Assigned	Included		
Library007_barcode80	7	80	278	27	1	16	12			normal	8	Functional	premature_stop	Assigned	Included		
Library007_barcode81	7	81	279	67	1	48	28			normal	12	Functional	mixed	Assigned	Included		
Library007_barcode82	7	82	280	67	1	24	20			normal	6	Functional	premature_stop	Assigned	Included		
Library007_barcode83	7	83	281	67	1	52	28			normal	10	Functional	premature_stop	Assigned	Included		
Library007_barcode84	7	84	282	67	1	28	28			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library007_barcode85	7	85	283	67	1	28	28			low_functional_rate	10	Partial_translation_failure	premature_stop	Assigned	Included		
Library007_barcode86	7	86	284	67	1	32	24			normal	13	Functional	premature_stop	Assigned	Included		
Library007_barcode87	7	87	285	67	1	36	32			normal	14	Functional	premature_stop	Assigned	Included		
Library007_barcode88	7	88	286	67	1	8	8			normal	4	Functional	premature_stop	Assigned	Included		
Library008_barcode01	8	1	302	70	1	36	36			normal	20	Functional	mixed	Assigned	Included		
Library008_barcode02	8	2	303	70	1	36	32			normal	25	Functional	premature_stop	Assigned	Included		
Library008_barcode03	8	3	304	70	1	52	36			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library008_barcode04	8	4	305	70	1	12	12			normal	8	Functional	premature_stop	Assigned	Included		
Library008_barcode05	8	5	306	70	1	32	12			normal	10	Functional	premature_stop	Assigned	Included		
Library008_barcode06	8	6	307	70	1	36	24			low_functional_rate	5	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode07	8	7	308	70	1	48	28			normal	13	Functional	premature_stop	Assigned	Included		
Library008_barcode08	8	8	309	70	1	28	28			normal	17	Functional	premature_stop	Assigned	Included		
Library008_barcode09	8	9	310	70	1	32	20			normal	7	Functional	mixed	Assigned	Included		
Library008_barcode10	8	10	311	70	1	52	32			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode11	8	11	312	70	1	20	8			normal	3	Functional	premature_stop	Assigned	Included		
Library008_barcode12	8	12	313	70	1	32	24			normal	8	Functional	mixed	Assigned	Included		
Library008_barcode13	8	13	314	70	1	44	36			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library008_barcode14	8	14	315	70	1	8	4			normal	1	Functional	premature_stop	Assigned	Included		
Library008_barcode15	8	15	316	70	1	28	20			normal	15	Functional	premature_stop	Assigned	Included		
Library008_barcode16	8	16	317	70	1	28	8			normal	4	Functional	premature_stop	Assigned	Included		
Library008_barcode17	8	17	318	70	1	8	8			normal	4	Functional	premature_stop	Assigned	Included		
Library008_barcode18	8	18	319	70	1	36	20			no_functional_proteins	0	Complete_loss	mixed		Excluded	Step 9 — no_functional_proteins	mixed premature_stop + ambiguous_aa failures — both LoF mutations AND data-quality issues; interpret cautiously (Top failures: premature_stop(13);ambiguous_aa(12))
Library008_barcode19	8	19	320	70	1	44	36			low_functional_rate	12	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode20	8	20	321	70	1	28	20			low_functional_rate	6	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode21	8	21	322	70	1	16	16			normal	8	Functional	premature_stop	Assigned	Included		
Library008_barcode22	8	22	323	70	1	32	28			normal	14	Functional	premature_stop	Assigned	Included		
Library008_barcode23	8	23	324	70	1	28	28			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode24	8	24	325	70	1	36	24			normal	12	Functional	premature_stop	Assigned	Included		
Library008_barcode25	8	25	326	70	1	48	36			normal	24	Functional	mixed	Assigned	Included		
Library008_barcode26	8	26	327	70	1	32	20			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode27	8	27	328	70	1	28	28			low_functional_rate	4	Partial_translation_failure	mixed	Assigned	Included		
Library008_barcode28	8	28	329	70	1	36	16			normal	8	Functional	premature_stop	Assigned	Included		
Library008_barcode29	8	29	330	70	1	16	4			normal	4	Functional		Assigned	Included		
Library008_barcode30	8	30	331	70	1	28	8			normal	4	Functional	premature_stop	Assigned	Included		
Library008_barcode31	8	31	332	70	1	40	20			normal	12	Functional	premature_stop	Assigned	Included		
Library008_barcode32	8	32	333	70	1	28	28			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode33	8	33	334	70	1	36	16			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library008_barcode34	8	34	335	70	1	48	28			low_functional_rate	6	Partial_translation_failure	mixed	Assigned	Included		
Library008_barcode35	8	35	336	70	1	36	20			normal	16	Functional	ambiguous_aa	Assigned	Included		
Library008_barcode36	8	36	337	70	1	44	28			normal	13	Functional	mixed	Assigned	Included		
Library008_barcode89	8	89	338	70	1	44	24			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library008_barcode90	8	90	339	70	1	28	20			normal	8	Functional	mixed	Assigned	Included		
Library008_barcode91	8	91	340	70	1	32	8			normal	4	Functional	premature_stop	Assigned	Included		
Library009_barcode01	9	1	348	76	1	16	16			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode02	9	2	347	76	1	12	12			low_functional_rate	3	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode03	9	3	346	76	1	40	32			low_functional_rate	9	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode04	9	4	345	76	1	12	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode05	9	5	344	76	1	16	16			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode06	9	6	343	76	1	12	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library009_barcode07	9	7	342	76	1	36	32			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(20))
Library009_barcode08	9	8	341	76	1	16	16			no_functional_proteins	0	Complete_loss	ambiguous_aa		Excluded	Step 9 — no_functional_proteins	all sequences carry X residues from N-rich data — quality issue, NOT a biological SI escape; re-sequencing may help (would have been caught by Step 7b if applied) (Top failures: ambiguous_aa(28);premature_stop(8))
