Individual	N_proteins	Zygosity	Genotype
Library006_barcode60	2	Heterozygous	AABB
Library006_barcode61	1	Homozygous	AAAA
Library006_barcode62	4	Heterozygous	ABCD
Library006_barcode63	2	Heterozygous	AABB
Library006_barcode64	2	Heterozygous	AABB
Library006_barcode65	2	Heterozygous	AABB
Library006_barcode66	2	Heterozygous	AABB
Library007_barcode67	1	Homozygous	AAAA
Library007_barcode68	1	Homozygous	AAAA
Library007_barcode69	3	Heterozygous	AABC
Library007_barcode70	3	Heterozygous	AABC
Library007_barcode71	1	Homozygous	AAAA
Library007_barcode72	1	Homozygous	AAAA
Library007_barcode73	3	Heterozygous	AABC
Library007_barcode74	5	Heterozygous	Unknown
Library007_barcode76	5	Heterozygous	Unknown
Library007_barcode77	1	Homozygous	AAAA
Library007_barcode78	2	Heterozygous	AABB
Library007_barcode80	1	Homozygous	AAAA
Library007_barcode81	3	Heterozygous	AABC
Library007_barcode82	4	Heterozygous	ABCD
Library007_barcode83	3	Heterozygous	AABC
Library007_barcode84	2	Heterozygous	AABB
Library007_barcode85	2	Heterozygous	AABB
Library007_barcode86	4	Heterozygous	ABCD
Library007_barcode87	3	Heterozygous	AABC
Library007_barcode88	1	Homozygous	AAAA
SRK_BEA	2	Heterozygous	AABB
